date,index,source,count
May 2015,17,BBC News,19
May 2015,17,Meduza,40
May 2015,17,Reuters,9
May 2015,17,The Guardian,16
May 2015,17,Yahoo News,11
May 2015,17,Ведомости,17
May 2015,17,Интерфакс,112
May 2015,17,Коммерсантъ,41
May 2015,17,РБК,28
May 2015,17,РИА Новости,21
May 2015,17,ТАСС,75
May 2016,29,BBC News,16
May 2016,29,Meduza,69
May 2016,29,Reuters,26
May 2016,29,The Guardian,13
May 2016,29,Yahoo News,22
May 2016,29,Ведомости,37
May 2016,29,Интерфакс,158
May 2016,29,Коммерсантъ,52
May 2016,29,РБК,29
May 2016,29,РИА Новости,50
May 2016,29,ТАСС,81
Nov 2014,11,BBC News,21
Nov 2014,11,Meduza,31
Nov 2014,11,Reuters,4
Nov 2014,11,The Guardian,10
Nov 2014,11,Yahoo News,7
Nov 2014,11,Ведомости,30
Nov 2014,11,Интерфакс,91
Nov 2014,11,Коммерсантъ,34
Nov 2014,11,РБК,31
Nov 2014,11,РИА Новости,20
Nov 2014,11,ТАСС,79
Nov 2015,23,BBC News,20
Nov 2015,23,Meduza,36
Nov 2015,23,Reuters,41
Nov 2015,23,The Guardian,27
Nov 2015,23,Yahoo News,47
Nov 2015,23,Ведомости,10
Nov 2015,23,Интерфакс,121
Nov 2015,23,Коммерсантъ,52
Nov 2015,23,РБК,36
Nov 2015,23,РИА Новости,61
Nov 2015,23,ТАСС,119
Oct 2014,10,BBC News,9
Oct 2014,10,Meduza,7
Oct 2014,10,Reuters,7
Oct 2014,10,The Guardian,5
Oct 2014,10,Yahoo News,1
Oct 2014,10,Ведомости,17
Oct 2014,10,Интерфакс,40
Oct 2014,10,Коммерсантъ,15
Oct 2014,10,РБК,21
Oct 2014,10,РИА Новости,14
Oct 2014,10,ТАСС,50
Oct 2015,22,BBC News,16
Oct 2015,22,Meduza,40
Oct 2015,22,Reuters,43
Oct 2015,22,The Guardian,5
Oct 2015,22,Yahoo News,42
Oct 2015,22,Ведомости,29
Oct 2015,22,Интерфакс,125
Oct 2015,22,Коммерсантъ,46
Oct 2015,22,РБК,30
Oct 2015,22,РИА Новости,33
Oct 2015,22,ТАСС,111
Sept 2015,21,BBC News,17
Sept 2015,21,Meduza,46
Sept 2015,21,Reuters,18
Sept 2015,21,The Guardian,15
Sept 2015,21,Yahoo News,38
Sept 2015,21,Ведомости,30
Sept 2015,21,Интерфакс,108
Sept 2015,21,Коммерсантъ,40
Sept 2015,21,РБК,31
Sept 2015,21,РИА Новости,33
Sept 2015,21,ТАСС,85
